prod_notif_no,prod_name,holder_name,prod_status_date,prod_status_type,prod_brand,prod_category,banned_substances,holders_id
NOT231102022K,WYCON INDELIBLE STICK EYESHADOW DARK CHOCOLATE 117,ANAIKA COLLECTIONS SDN BHD,07-11-23,Clear,WYCON,Eye,,103
NOT230303769K,Kikis Soak-off Gel Polish 108,TP Two Enterprise Sdn. Bhd.,16-03-23,Clear,Kikis,Other,,1995
NOT190104715K,THE BODY SHOP OWN YOUR NATURALS EYESHADOW PALETTE MATTE EYESHADOW 3,THE BODY SHOP (MALAYSIA) SDN. BHD.,21-01-23,Clear,THE,Eye,,1961
NOT210504757K,Melissachens Professional Series Moisturising Booster Mask,Melissachens Skin Lab Sdn Bhd,28-05-23,Clear,Melissachens,Moisturizer,,1390
NOT230106274K,JASMINE SABUN DELIMA,NUSANTARA MAJU ENTERPRISE,31-01-23,Clear,JASMINE,Other,,1472
NOT230606111K,HANASUI - PERFECT STAY FOUNDATION #010 DESERT,PREMIUM PRIORITY SDN BHD,27-06-23,Clear,HANASUI,Foundation,,1606
NOT210202425K,Skin Lab Snap-8 Booster,UNION PROFIT COSMETIC MANUFACTURING SDN BHD,15-02-23,Clear,Skin,Other,,2065
NOT230604165K,Oryn Toner,JENAMA PRODUK ANDA WORLDWIDE,21-06-23,Clear,Oryn,Toner,,983
NOT210602350K,MBK BODY ESSENTIALS BOOST,WONDA WELLNESS SDN. BHD.,11-06-23,Clear,MBK,Other,,2153
NOT210306605K,Beauty Formulas Tea Tree Blackhead Clearing Facial Scrub,DEANNE TRADING SDN. BHD.,29-03-23,Clear,Beauty,Perfume,,481
NOT230505424K,LITS Moist Facial Sheet Mask,MANDOM (MALAYSIA) SDN. BHD.,25-05-23,Clear,LITS,Moisturizer,,1242
NOT190900734K,MILBON SMOOTH NO.1 COARSE HAIR,MILBON MALAYSIA SDN. BHD.,04-09-23,Clear,MILBON,Other,,1309
NOT231203867K,AlmeRich UV SHINE,Achima Skincare Sdn Bhd,18-12-23,Clear,AlmeRich,Sunscreen,,194
NOT210501575K,Yves Saint Laurent Rouge Pur Couture Vernis A Levres Water Stain - 615 Ruby Wave,LOREAL MALAYSIA SDN. BHD.,10-05-23,Clear,Yves,Other,,1166
NOT230500093K,VIE PERFECT TOUCH HYDRATING SUN CREAM SPF50+ 50ml,OPTIMO INTERNATIONAL SDN. BHD.,02-05-23,Clear,VIE,Sunscreen,,1521
NOT150301429K,JIMMY CHOO BLOSSOM EAU DE PARFUM,LUXASIA (M) SDN. BHD.,11-03-23,Clear,JIMMY,Perfume,,1187
NOT171001324K,SKIN REFINING CREAM,Bilu Metys Cosmetic Sdn Bhd,04-10-23,Clear,SKIN,Moisturizer,,345
NOT231101144K,PINK Mist Chill Pear White Orchid Zesty Orange + Essential Oils Cool & Bright,ENVICO ENTERPRISES SDN. BHD.,03-11-23,Clear,PINK,Spray,,618
NOT230200230K,NUANCE HAIR COLOUR CREAM N.4.5,PCQ Hair & Beauty Products Sdn. Bhd.,01-02-23,Clear,NUANCE,Moisturizer,,1562
NOT190107936K,Shu Uemura Pressed Eye Shadow - M Red 163,LOREAL MALAYSIA SDN. BHD.,30-01-23,Clear,Shu,Eye,,1166
NOT230703154K,INSPIRA:MED - FAIR COMPLEXION CREAM,BEAUTY HIGH POINT SDN. BHD.,13-07-23,Clear,INSPIRA:MED,Moisturizer,,253
NOT230502722K,UNDERAGE FACE CLEANSING FOAM,CANTIKSAMA ANTARABANGSA SDN. BHD.,11-05-23,Clear,UNDERAGE,Other,,363
NOT230802786K,SCHWARZKOPF PROFESSIONAL IGORA ROYAL PERMANENT COLOR CREME 5-6,HENKEL (MALAYSIA) SDN. BHD.,10-08-23,Clear,SCHWARZKOPF,Other,,861
NOT151102427K,ITELY HAIRFASHION PROSHAPE ONDASOFT KIT 2,CREATE HUB (M) SDN BHD,10-11-23,Clear,ITELY,Other,,434
NOT210402968K,ABERCROMBIE & FITCH AWAY WOMAN FEME EMULSION POUR LE CORPS (BODY LOTION),LUXASIA (M) SDN. BHD.,14-04-23,Clear,ABERCROMBIE,Moisturizer,,1187
NOT230507066K,AMUSE - EYE COLOR PALETTE - 01 WARM BOKSOONGA (1-3),BEAUTY IN MOTION SDN. BHD.,31-05-23,Clear,AMUSE,Eye,,255
NOT230303019K,EYRA SOMIA LIPTINT SWEET TOOTH EDITION - ICE CREAM,EYRA SOMIA COSMETIC GLOBAL,14-03-23,Clear,EYRA,Moisturizer,,656
NOT210505406K,MEDIHEAL CICA CALMING AMPOULE MASK,SAMMOOR BEAUTY SDN BHD,31-05-23,Clear,MEDIHEAL,Mask,,1738
NOT210606320K,ORA2 ME MOUTH SPRAY RASPBERRY MINT,Cason Group Sdn. Bhd.,28-06-23,Clear,ORA2,Spray,,448
NOT231006392K,SHISEIDO VITAL PERFECTION BRIGHT REVITALIZING EMULSION,SHISEIDO MALAYSIA SDN. BHD.,27-10-23,Clear,SHISEIDO,Other,,1780
NOT230201451K,SOPHIE'S GARDEN PHYTO CELLULAR EYE SERUM,ESTHECOSME (M) SDN. BHD.,09-02-23,Clear,SOPHIE'S,Serum,,638
NOT211103618K,CLINIQUE DRAMATICALLY DIFFERENT LIPSTICK SHAPING LIP COLOUR - 35 THINK BRONZE (K4XH35),ESTEE LAUDER MALAYSIA SDN. BHD.,19-11-23,Clear,CLINIQUE,Lip,,636
NOT190800443K,BOBBI BROWN CRUSHED LIP COLOR - REGAL (EH2112),ESTEE LAUDER MALAYSIA SDN. BHD.,02-08-23,Clear,BOBBI,Lip,,636
NOT170305814K,MCCM HAIR COCKTAILS,REDO MARKETING SDN. BHD.,20-03-23,Clear,MCCM,Foundation,,1683
NOT230906662K,VERONA PLUS BLUSH BL02 #02-3,ECO-SHOP MARKETING SDN. BHD.,26-09-23,Clear,VERONA,Other,,577
NOT230701857K,KATE AURORALIZED GLOW HIGHLIGHTER EX-1 (B),KANEBO COSMETICS MALAYSIA SDN BHD,07-07-23,Clear,KATE,Other,,1032
NOT190305948K,VITADERMA V-Sun II (WR),Q & Z COSMETICS MANUFACTURING SDN. BHD.,21-03-23,Clear,VITADERMA,Other,,1647
NOT210502524K,GRAND LINKAGE VELOURLUXE SHAMPOO,MILBON MALAYSIA SDN. BHD.,16-05-23,Clear,GRAND,Other,,1309
NOT230500604K,REVOLUTION RELOADED PALETTE AFFECTION - SHADE 9,JADE ESERVICES MALAYSIA SDN. BHD.,03-05-23,Clear,REVOLUTION,Other,,961
NOT230300041K,Miss Kay Eau De Parfum - Urban Love,LUXOR YRM SDN. BHD.,01-03-23,Clear,Miss,Perfume,,1192
NOT231200008K,ILY Water Nail JELLY JELLO - JB03 PINK LEMONADE,JC INFINITY SDN. BHD.,01-12-23,Clear,ILY,Other,,971
NOT230903635K,FENTY BEAUTY - CHEEKS OUT FREESTYLE CREAM BRONZER - (02) BUTTA BISCUIT,BEAUTY IN MOTION SDN. BHD.,16-09-23,Clear,FENTY,Moisturizer,,255
NOT230506204K,TARTE - ALL STARS AMAZONIAN CLAY COLLECTOR'S SET - TARTELETTE AMAZONIAN CLAY PALETTE - EXCLUSIVE,BEAUTY IN MOTION SDN. BHD.,27-05-23,Clear,TARTE,Other,,255
NOT190407335K,AG2000 Facial Cleansing Milk,Eastern Biotech Resources Sdn Bhd,24-04-23,Clear,AG2000,Other,,658
NOT210500427K,WARDAH Colorfit Last All Day Lip Paint 06 Infinite Coral,Pharmacore Technology and Innovation Sdn. Bhd.,04-05-23,Clear,WARDAH,Lip,,1640
NOT231201620K,SABUN MEDINA BY ELFARRA BEAUTY,ELFARRA BEAUTY,07-12-23,Clear,SABUN,Perfume,,600
NOT230703009K,CSP Energizing Shampoo,SPARK HAIRCARE SOLUTION SDN. BHD.,13-07-23,Clear,CSP,Other,,1852
NOT230603199K,Laboratoire Dr Renaud Pure Re[Gene] Rejuvenating Eye Elixir,CO-A PROMOTION SDN. BHD.,16-06-23,Clear,Laboratoire,Sunscreen,,414
NOT230506973K,ANASTASIA BEVERLY HILLS - PRIMROSE PALETTE FOR FACE & EYES - PRESSED PIGMENT FOR FACE AND BODY - CLARET,PREMIUM PRIORITY SDN BHD,30-05-23,Clear,ANASTASIA,Eye,,1606
NOT230505247K,Cosmecnique Recovery Skin Hydrating & Whitening Mask,COSMECNIQUE BEAUTY GALLERY SDN. BHD.,24-05-23,Clear,Cosmecnique,Mask,,420
NOT230302854K,23.5N Rice Soothing Watery Lotion Sunscreen,HONG KONG SA SA (M) SDN. BHD.,14-03-23,Clear,23.5N,Sunscreen,,880
NOT230204414K,6051 CUCCIO COLOUR - 2AM IN HOLLYWOOD,VL NAIL SPA TRADING SDN BHD,20-02-23,Clear,6051,Foundation,,2104
NOT190307935K,ASSAHO MEN'S PERFUMED TALCUM POWDER,ZHULIAN MANUFACTURING SDN. BHD.,28-03-23,Clear,ASSAHO,Perfume,,2217
NOT230102131K,BELOVED MANGOSTEEN HERB POWDER,BELOVED NATURAL SKINCARE SDN.BHD.,09-01-23,Clear,BELOVED,Other,,272
NOT210405366K,LA'DERM - P-erfecting Hydro Plus,FRANEVYNS BEAUTE INTERNATIONAL SDN.BHD.,22-04-23,Clear,LA'DERM,Other,,708
NOT210802273K,HERMES LES MAINS HERMES NAIL ENAMEL - 77 ROUGE GRENADE,LUXASIA (M) SDN. BHD.,13-08-23,Clear,HERMES,Other,,1187
NOT190408373K,Alyson It's Love Vitamin Enriched Lotion,MASE INDUSTRIES SDN. BHD.,29-04-23,Clear,Alyson,Moisturizer,,1251
NOT190102634K,YOUNG LIVING GRATITUDE ESSENTIAL OIL BLEND,YOUNG LIVING MALAYSIA SDN. BHD.,14-01-23,Clear,YOUNG,Other,,2194
NOT231005245K,"DIOR BACKSTAGE EYE PALETTE - MULTI-FINISH HIGH-PIGMENT EYE PALETTE - PRIME, SHADE, HIGHLIGHT, LINE - 007 CORAL NEUTRALS - SHIMMER PINK CORAL (#766)",LVMH PERFUMES AND COSMETICS (MALAYSIA) SDN. BHD.,22-10-23,Clear,DIOR,Eye,,1194
NOT230305009K,Victoria's Secret Fragrance Mist Temptation,ENVICO ENTERPRISES SDN. BHD.,20-03-23,Clear,Victoria's,Spray,,618
NOT230502039K,DIOR ADDICT LIP TINT - HYDRATING COLORED TINT TRANSFER-PROOF BARE LIP SENSATION - 641 NATURAL RED TANGERINE,LVMH PERFUMES AND COSMETICS (MALAYSIA) SDN. BHD.,10-05-23,Clear,DIOR,Lip,,1194
NOT230501764K,Skin Plus HA+ Energy Toner,Dermaclinique Sdn Bhd,09-05-23,Clear,Skin,Toner,,558
NOT191205515K,It Cosmetics Your Skin But Better CC+ Color Correcting Full-Coverage Cream SPF 50+ - Medium-Tan,LOREAL MALAYSIA SDN. BHD.,20-12-23,Clear,It,Sunscreen,,1166
NOT230106108K,enog Green 9,MILBON MALAYSIA SDN. BHD.,31-01-23,Clear,enog,Other,,1309
NOT231103244K,Enchanteur Satin Smooth Perfumed Lotion Rose Oud Amour,WIPRO UNZA (MALAYSIA) SDN. BHD.,10-11-23,Clear,Enchanteur,Moisturizer,,2143
NOT230902571K,Echosline KI-Power VEG Mask,MAGIC BOO BEAUTY SDN BHD,12-09-23,Clear,Echosline,Mask,,1226
NOT230905356K,BOBBI BROWN SKIN WEIGHTLESS POWDER FOUNDATION - N-012 PORCELAIN (ET5K11),ESTEE LAUDER MALAYSIA SDN. BHD.,20-09-23,Clear,BOBBI,Foundation,,636
NOT230401986K,AVA LABORATORIUM Aloe Organic Anti-Aging Eye cream,CELES GLOBAL SDN. BHD.,07-04-23,Clear,AVA,Moisturizer,,381
NOT210902826K,Goldwell Stylesign Ultra Volume Top Whip,MOODYZ AGENCIES SDN. BHD.,15-09-23,Clear,Goldwell,Other,,1344
NOT230504559K,P'BEAU SERUM TREATMENT,Fabullite Sdn Bhd,19-05-23,Clear,P'BEAU,Serum,,724
NOT230703048K,Yves Saint Laurent Couture Mini Clutch - 100 Stora Dolls (4),LOREAL MALAYSIA SDN. BHD.,13-07-23,Clear,Yves,Other,,1166
NOT230602033K,CUBREMI COMPACT POWDER SPF30 CODE CHOCOLATE,CUBRE MI SDN. BHD.,13-06-23,Clear,CUBREMI,Sunscreen,,441
NOT210203143K,CELLNIQUE Skin Renewal Cream,CELLNIQUE PARAMEDICAL SDN. BHD.,17-02-23,Clear,CELLNIQUE,Moisturizer,,386
NOT230603551K,L`Occitane Neroli Orchad Hand Cream,L`Occitane Malaysia Sdn Bhd,19-06-23,Clear,L`Occitane,Moisturizer,,1195
NOT210601871K,MBK AP WHITENING EFFECT CREAM,WONDA WELLNESS SDN. BHD.,10-06-23,Clear,MBK,Moisturizer,,2153
NOT170304582K,OLAY REGENERIST REVITALISING CREAM CLEANSER (1),PROCTER & GAMBLE (MALAYSIA ) SDN.BHD.,14-03-23,Clear,OLAY,Moisturizer,,1617
NOT230805509K,AYUNCHE  PRO ART VIBE SPECTRUM 13 TAUPE BEIGE,NEKDERX SDN. BHD.,21-08-23,Clear,AYUNCHE,Other,,1432
NOT230806109K,Silkygirl Urban Earth Eye Shadow Palette - Subtle,ALLIANCE COSMETICS SDN. BHD.,22-08-23,Clear,Silkygirl,Eye,,81
NOT211102808K,Giorgio Armani Armani/Prive Gardenia Antigua Eau De Toilette Vaporisateur Spray,LOREAL MALAYSIA SDN. BHD.,15-11-23,Clear,Giorgio,Spray,,1166
NOT230903231K,SMASHBOX ALWAYS ON SKIN-BALANCING FOUNDATION + HYALURONIC ACID AND ADAPTOGENS - M10-W (C57L19),ESTEE LAUDER MALAYSIA SDN. BHD.,14-09-23,Clear,SMASHBOX,Foundation,,636
NOT211101621K,Iskin Lipaddict 205 Sexy Seductress,Skin Infinite Sdn. Bhd.,09-11-23,Clear,Iskin,Lip,,1923
NOT230206473K,SOME BY MI Yuja Niacin 30 Days Blemish Care Serum,STYLEKOREAN MY SDN. BHD.,28-02-23,Clear,SOME,Serum,,1870
NOT230901935K,Hijiriko Lotion,SUPERENEUR NETWORK TRADING,09-09-23,Clear,Hijiriko,Moisturizer,,1890
NOT230503230K,WYCON LIP FUSION LIPSTICK DAYBREAK 04,ANAIKA COLLECTIONS SDN BHD,12-05-23,Clear,WYCON,Lip,,103
NOT230303013K,Neogence Moisturizing Mask With Nine Essences Of Hyaluronic Acid,HONG KONG SA SA (M) SDN. BHD.,14-03-23,Clear,Neogence,Moisturizer,,880
NOT210804723K,VIYA'S Time Reverse.E Capsules,VIYAS (M) Sdn Bhd,27-08-23,Clear,VIYA'S,Other,,2103
NOT211202280K,Loreal Professionnel Dia Light Acidic Gloss Color - 10.22,LOREAL MALAYSIA SDN. BHD.,13-12-23,Clear,Loreal,Other,,1166
NOT230301546K,Motives Goal Digger Palette - Ambitious,MARKET MALAYSIA SHOP SDN. BHD.,08-03-23,Clear,Motives,Other,,1247
NOT230603366K,"Toothpaste ""SPLAT Green Tea"" of Professional Series",Malayan Procurement Sdn. Bhd.,17-06-23,Clear,Toothpaste,Other,,1377
NOT230305179K,Kandesn FACE PALETTE black sand beach - french vanilla 322,SUNRIDER INTERNATIONAL (MALAYSIA) SDN. BHD.,21-03-23,Clear,Kandesn,Other,,1886
NOT230806454K,SENSUAL Multi-Collagen Concentrate,DE COSMETICS MALAYSIA SDN BHD,24-08-23,Clear,SENSUAL,Other,,476
NOT230702171K,Victorinox Swiss Army For Her Ginger Lily Edt,PYRAMID RUBY SDN. BHD.,10-07-23,Clear,Victorinox,Other,,1631
NOT230907290K,ONE DAY'S YOU PORE TIGHTENING FOAMING CLEANSER,BEAUTE MORI SDN BHD,28-09-23,Clear,ONE,Cleanser,,247
NOT230600361K,SUQRE ANTI ACNE,SUQRE SDN. BHD.,01-06-23,Clear,SUQRE,Other,,1893
NOT230403605K,HANGU FACIAL TREATMENT MOISTURISER CREAM,HANGU BEAUTY MANAGEMENT SDN. BHD.,13-04-23,Clear,HANGU,Moisturizer,,825
NOT230702368K,HOMMAGE SHAVE OIL,ESSENCE VALE ENTERPRISE SDN BHD,11-07-23,Clear,HOMMAGE,Other,,632
NOT210801227K,Mary Kay Gel Semi-Shine Lipstick - Romantic Pink,MARY KAY (MALAYSIA) SDN. BHD.,06-08-23,Clear,Mary,Lip,,1250
NOT170203328K,LA FOCUS LOVEST SILVERY ASH COLOR REFRESH SHAMPOO,EVERGREEN HAIR & BEAUTY SDN. BHD.,21-02-23,Clear,LA,Other,,648
NOT211105794K,THALAC : SERUM HYDRATANT VISAGE - MOISTURIZING SERUM FACE,TC ELITE SDN BHD,30-11-23,Clear,THALAC,Serum,,1952
NOT230605434K,"Children's toothpaste of Juicy Lab series ""SPLAT Dream Berries""",Malayan Procurement Sdn. Bhd.,23-06-23,Clear,Children's,Other,,1377
NOT210902448K,WYCON COVER SHIELD CONCEALER 07 MEDIUM BEIGE,ANAIKA COLLECTIONS SDN BHD,13-09-23,Clear,WYCON,Other,,103
NOT230504984K,"DEAR, KLAIRS - GENTLE BLACK DEEP CLEANSING OIL",Fusion Cosmetics Sdn Bhd,23-05-23,Clear,"DEAR,",Other,,734
NOT230901219K,JUICY BERRIES Shower Gel - Emerald Glow Scented,SPRINGWIN ENTERPRISE SDN. BHD.,06-09-23,Clear,JUICY,Other,,1854
NOT230905893K,KYLIE COSMETICS POWER PLUSH LONGWEAR CONCEALER 4.5WN,COTY INT MALAYSIA SDN. BHD.,23-09-23,Clear,KYLIE,Other,,428
NOT230902568K,SPAKLEAN AMAZING COLLAGEN AQUA TREATMENT,UNIQUE VARIATIONS SDN. BHD.,12-09-23,Clear,SPAKLEAN,Other,,2068
NOT190408372K,Alyson It's Sense Vitamin Enriched Lotion,MASE INDUSTRIES SDN. BHD.,29-04-23,Clear,Alyson,Moisturizer,,1251
NOT231005615K,BOTREM RESTORACTIV INTENSIVE INTRICATE CARE WASH,BOTREM HEALTHCARE SDN.BHD.,24-10-23,Clear,BOTREM,Cleanser,,313
NOT230300633K,THE COSMETIC REPUBLIC SAF100 PRO Hair Booster Ampoules,Shins Corporation Sdn. Bhd.,03-03-23,Clear,THE,Other,,1918
NOT190306408K,JM SOLUTION HONEY LUMINOUS ROYAL PROPOLIS MASK BLACK,BRIGHT DIVA SDN. BHD.,22-03-23,Clear,JM,Mask,,318
NOT230803262K,CHANEL POUDRE UNIVERSELLE LIBRE Natural Finish Loose Powder - 10,CHANEL (KUALA LUMPUR) SDN. BHD.,11-08-23,Clear,CHANEL,Other,,390
NOT231106061K,ERICSON LABORATOIRE PARIS - EYE ZONE - TOTAL CONTOUR PATCHES,LE EXPERT SDN. BHD.,23-11-23,Clear,ERICSON,Eye,,1131
NOT230503394K,HOLLISTER FEELIN' GOOD FOR HER / POUR ELLE FRAGRANCE MIST,LUXASIA (M) SDN. BHD.,15-05-23,Clear,HOLLISTER,Spray,,1187
NOT230305074K,ZEESEA STEREO THREE-DIMENSIONAL EYEBROW PENCIL (TRIANGLE) (COFFEE COLOR),TIAN XING CLOUD SUPPLY CHAIN (MALAYSIA) SDN. BHD.,20-03-23,Clear,ZEESEA,Eye,,1978
NOT230304728K,SEPHORA - GLITTER POWER 3 MULTI-USE SHADOWS WAND - BROWN POWER - 3,BEAUTY IN MOTION SDN. BHD.,20-03-23,Clear,SEPHORA,Other,,255
NOT230801266K,SENBEL REGENERATING NIGHT CREAM,DIGITAL CROWN HOLDINGS SDN. BHD.,04-08-23,Clear,SENBEL,Moisturizer,,512
NOT231101982K,NIRVAE Botanicals Cedarwood & Sage Bath Soap,Trendlux Sdn. Bhd,07-11-23,Clear,NIRVAE,Other,,2037
NOT230706625K,essence Disney Mickey and Friends THE FALSE LASHES MASCARA EXTREME VOLUME & CURL #943225,PROPHARM (M) SDN. BHD.,28-07-23,Clear,essence,Other,,1621
NOT230106087K,MAKE OVER Powerstay Weightless Liquid Foundation W60 Creme Cocoa,Pharmacore Technology and Innovation Sdn. Bhd.,31-01-23,Clear,MAKE,Foundation,,1640
NOT210105763K,Nomee Follicles  Hydrate Essence,INNOVATIVE TRADING,23-01-23,Clear,Nomee,Other,,934
NOT230904216K,PAT MCGRATH LABS - MATTETRANCE LIPSTICK - (027) FULL BLOODED,BEAUTY IN MOTION SDN. BHD.,18-09-23,Clear,PAT,Lip,,255
NOT191101852K,LE PETIT OLIVIER Hair Conditioner Gentle Sweet Almond & Rice Cream,MAGIC BOO BEAUTY SDN BHD,08-11-23,Clear,LE,Moisturizer,,1226
NOT230906068K,Artdeco Iconic Eyeshadow Palette (Pretty In Sunshine) N1-2,HONG KONG SA SA (M) SDN. BHD.,25-09-23,Clear,Artdeco,Eye,,880
NOT230103964K,CHANEL LES BEIGES Eau De Blush - Warm Pink,CHANEL (KUALA LUMPUR) SDN. BHD.,13-01-23,Clear,CHANEL,Perfume,,390
NOT230903600K,AVIBLANC JADE RIVER,NPMAC RESOURCES,16-09-23,Clear,AVIBLANC,Other,,1462
NOT190102589K,Kwailnara Cleansing Story Black Bean Deep Cleansing Foam,K-MOST SDN. BHD.,14-01-23,Clear,Kwailnara,Other,,1029
NOT230902853K,VERONA PLUS EYESHADOW ES03 #03-1,ECO-SHOP MARKETING SDN. BHD.,13-09-23,Clear,VERONA,Eye,,577
NOT230706979K,MARZIA CLINIC VITAMINA C INTENSIVE ANTIOXIDANT PROFESSIONAL TREATMENT - RADIANCE MASK,UNIQUE DISTRIBUTION SDN. BHD.,30-07-23,Clear,MARZIA,Mask,,2067
NOT210701005K,Truefitt & Hill Bath and Shower Gel 1805,BAKHACHE LUXURIES (M) SDN. BHD.,07-07-23,Clear,Truefitt,Other,,230
NOT230604771K,ALHA ALFA DOLL EYE FIBER LASH MASCARA,ALHA ALFA RICH LEGACY SDN.BHD.,22-06-23,Clear,ALHA,Eye,,78
NOT230506056K,Bath & Body Works Daily Nourishing Body Lotion Twisted Peppermint,ENVICO ENTERPRISES SDN. BHD.,26-05-23,Clear,Bath,Moisturizer,,618
NOT231201908K,Happy Af By Addison Rae Eau De Parfum,HONG KONG SA SA (M) SDN. BHD.,11-12-23,Clear,Happy,Perfume,,880
NOT231105674K,KINA TINTED LIP BALM-ANGGUN,KINA EMPIRE SDN. BHD.,21-11-23,Clear,KINA,Lip,,1062
NOT230302917K,ECOHAIR SENSE NATURAL CARE BUBBLE HAIR COLOR LOTION BLACK (DEVELOPER),SOON HAIR & BEAUTY MARKETING SDN. BHD.,14-03-23,Clear,ECOHAIR,Moisturizer,,1845
NOT230602778K,Babor Doctor Babor Pro A Retinol Concentrate,LUXOR BEAUTY WORLD SDN. BHD.,15-06-23,Clear,Babor,Other,,1190
NOT190700093K,SHEN - Face Cream,SERI PUTIH RESOURCES,01-07-23,Clear,SHEN,Moisturizer,,1766
NOT230902218K,BBIA READY TO WEAR EYE PALETTE (03-DRY FLOWER) 06,De Deux Cosmetics Sdn Bhd,11-09-23,Clear,BBIA,Eye,,549
NOT231000035K,Darlie All Shiny White Enzyme Toothpaste (Floral Fresh),HAWLEY & HAZEL (M) SDN. BHD.,02-10-23,Clear,Darlie,Other,,841
NOT231100853K,RJBEAUTY UNDER EYE GEL SERUM,RJ BEAUTY SHOP,02-11-23,Clear,RJBEAUTY,Serum,,1700
NOT230606567K,NYAKLISA KUALA LUMPUR HYDRATING PRIMER WITH PURE CHAMOMILE EXTRACT,NYAKLISA KL RESOURCES,27-06-23,Clear,NYAKLISA,Primer,,1482
NOT230601041K,SOMETHINC THE NOBLES PRO POCKET EYESHADOW PALETTE Vol.1-MARCHESA,SOMETHINC MALAYSIA SDN. BHD.,06-06-23,Clear,SOMETHINC,Eye,,1844
NOT230701709K,VENZ NATURAL DERMA GLOW COMPLEX SERUM,CANWELL BEAU-SYSTEM SDN BHD,07-07-23,Clear,VENZ,Serum,,364
NOT230800222K,TINTED LIP BALM BY SEPTEMBER 5 COSMETICS,RASSALAB GLOBAL SDN. BHD.,01-08-23,Clear,TINTED,Lip,,1677
NOT210405083K,Ecolatier Hand Soap Deep Nourishing Organic Avocado,MAGIC BOO BEAUTY SDN BHD,21-04-23,Clear,Ecolatier,Other,,1226
NOT210502945K,JNN-II REAL FRESH TROPICAL MASK PACK LITCHI,Kiray Enterprise Sdn. Bhd.,18-05-23,Clear,JNN-II,Mask,,1094
NOT210601113K,"Mysa Botanical Hand Wash (Lemongrass, Petitgrain, Patchouli)",JARDINE BOTANICAL SDN. BHD.,06-06-23,Clear,Mysa,Cleanser,,968
NOT230604353K,SENSATION ORGANIC SERIES MOIST CONDITIONER,HAIROLOGIST (M) SDN. BHD.,21-06-23,Clear,SENSATION,Moisturizer,,817
NOT230704059K,SKINTIFIC PANTHENOL GENTLE GEL CLEANSER,MY FIMEDIA NETWORK TECHNOLOGY SDN. BHD.,18-07-23,Clear,SKINTIFIC,Cleanser,,1364
NOT211003134K,MAKE UP FOR EVER HD SKINFOND DE TEINT LONGUE TENUE IMPERCEPTIBLE UNDETECTABLE STAY-TRUE FOUNDATION -1R12 (R230),L BEAUTY SDN. BHD.,20-10-23,Clear,MAKE,Foundation,,1098
NOT230507062K,AMUSE - DEW TINT - (08) ROSE DEW,BEAUTY IN MOTION SDN. BHD.,31-05-23,Clear,AMUSE,Other,,255
NOT230306992K,LuvElleRose Serum 30ml,HEF HEF EMPIRE (M) SDN. BHD.,27-03-23,Clear,LuvElleRose,Serum,,859
NOT190306059K,Maybelline Sensational Liquid Matte By Color Sensational - 03 Flush It Red,LOREAL MALAYSIA SDN. BHD.,21-03-23,Clear,Maybelline,Other,,1166
NOT210905714K,SISLEY PHYTO-KHOL STAR WATERPROOF ALL-DAY LONG LINER 4 MATTE GRAPHITE,SISLEY COSMETICS SDN. BHD.,29-09-23,Clear,SISLEY,Other,,1799
NOT130406321K,Lancome Exfoliance Clarte Fresh Exfoliating Clarifying Gel,LOREAL MALAYSIA SDN. BHD.,29-04-23,Clear,Lancome,Other,,1166
NOT231103054K,NUDESTIX MAGNETIC MATTE EYE COLOR - GBABY,Metropolitan Capital Sdn.Bhd.,10-11-23,Clear,NUDESTIX,Eye,,1392
NOT230603986K,THEFACESHOP- STYLE NAIL 30BR,LG HOUSEHOLD & HEALTH CARE MALAYSIA SDN. BHD.,20-06-23,Clear,THEFACESHOP-,Other,,1141
NOT231002348K,O-MILLA M10 SUN PROTECTIVE CREAM (REFRESHING-TYPED),MM COSMETIC SDN. BHD.,11-10-23,Clear,O-MILLA,Moisturizer,,1330
NOT230805028K,Modos+ Professional Stem Cell Anti-Hair Loss Tonic,TCL BEAUTY TRADING (M) SDN. BHD.,18-08-23,Clear,Modos+,Other,,1953
NOT210503807K,BURBERRY EFFORTLESS KOHL EYELINER 01 JET BLACK,COTY INT MALAYSIA SDN. BHD.,22-05-23,Clear,BURBERRY,Eye,,428
NOT230804652K,CELIMAX - THE REAL NONI ACNE BUBBLE CLEANSER,Fusion Cosmetics Sdn Bhd,17-08-23,Clear,CELIMAX,Cleanser,,734
NOT230303453K,Babor Ampoule Concentrates SOS Beauty Rescue,LUXOR BEAUTY WORLD SDN. BHD.,15-03-23,Clear,Babor,Perfume,,1190
NOT210502124K,Cirepil by Perron Rigot Huile Pre & Post Epilation Hydratation Intense  - Pre & Post Depilatory Oil Intense Moisturizing,The Byuti Sdn.Bhd,12-05-23,Clear,Cirepil,Moisturizer,,2028
NOT210407148K,Heads HS14 Botamix Hair Spray,HEADS HAIR & BEAUTY SUPPLIES SDN.BHD.,30-04-23,Clear,Heads,Spray,,847
NOT230704591K,IKON Chemical Treated Shampoo,SALON CONCEPT SDN. BHD.,20-07-23,Clear,IKON,Other,,1737
NOT230200488K,Nabaiji Relax Shampoo and Shower Gel,Decathlon Malaysia Sdn Bhd,02-02-23,Clear,Nabaiji,Other,,553
NOT230200267K,LAURA MERCIER CONDITIONING CLEANSING OIL,LUXASIA (M) SDN. BHD.,01-02-23,Clear,LAURA,Other,,1187
